,Household 1,Household 2,Household 3,Household 4,Household 5,Household 6,Household 7,Household 8,Household 9,Household 10,Household 11,Household 12,Household 13,Household 14,Household 15,Household 16,Household 17,Household 18,Household 19,Household 20
2020-01-01,28.82026172983832,20.804640841491114,17.473208413677952,19.54878075167125,28.806330637099315,12.743307509044875,19.944321863296665,21.70012299129826,26.260009913765156,27.805492784478748,21.460608089754313,25.00960351763834,22.685172738373275,17.65388861847911,18.415440260408086,30.71702755673575,15.906260011414089,13.978742493005784,28.144089619741557,14.245337898995272
2020-01-02,22.000786041836115,19.046732532093003,15.921042290030144,23.65829463515196,23.770478318281214,20.109286791099358,26.720371873367135,24.315085765755455,14.27653684378701,14.342303789899256,17.04045943263803,20.884462230261843,18.5658239590272,30.64197741269072,12.065673986317838,17.74561530581191,23.729153336228826,18.723553537575103,18.267907143849328,25.931170839772893
2020-01-03,24.893689920528697,18.02575242983275,17.462411991713214,19.672558124277586,16.874863046576642,20.212695370148953,22.500083479286513,17.051511021503376,19.54366490136912,18.518841728008965,30.907993144693872,14.559927292916766,28.17202822459951,18.053796025978826,23.943435420442782,22.325537325910524,9.448164840174169,25.411330798247047,14.906169428043507,15.383995605658018
2020-01-04,31.20446599600729,18.661332315530167,14.74059948724163,21.740846176209043,18.04803653007246,27.654661755144122,12.841011109674813,18.637336257561202,17.99214662243542,11.42971703639607,22.19775103015654,18.733913164722658,22.85613315504278,22.848064686471158,20.6861238712818,18.06127991942528,25.364117672920088,20.21284822642547,20.673310116723016,12.565884722478224
2020-01-05,29.337789950749837,14.359943342649967,32.48600195793504,23.31629044839587,20.562787654532272,20.462238677349042,16.855096462043658,23.68760756706941,22.81006552957091,20.7961710061414,18.34408324913085,25.49136528862923,16.050229699289048,18.62850268289185,16.07409737386548,16.966322159787882,28.656423563886804,17.065433344637686,19.296472247262386,26.443534284860092
2020-01-06,15.113610600617944,21.40220852658148,8.77339175814299,14.476917012367647,16.72227485257821,19.504958443579614,25.350362560354885,22.165593647244666,14.96045098358051,13.681361890618966,17.1414048326078,10.802166070160094,12.286210297811603,14.507915711692345,12.467148946903384,27.682794441132287,21.79652412740559,10.259119286503264,18.695115121207742,17.48009973693082
2020-01-07,24.750442087627945,15.034381945352097,22.820042675369045,19.845318713630206,20.337584285871625,14.746730817062552,16.894586511493113,18.94905593101619,16.620541529994917,28.32524703395221,25.14704459115458,18.942856932288702,16.163339086044417,23.448604309802647,17.1179508172437,20.855784484040818,24.382914725697436,18.29504329081226,24.08524382382243,15.35321452990831
2020-01-08,19.24321395851151,24.208156320368182,13.577238510037365,27.89432597208244,23.88802068951456,18.470237124508042,28.672860874618543,26.60397193063957,17.93391485824096,22.06136135830535,20.510298955320337,18.851683783545948,8.151883533488927,28.246241209388252,14.463557889859537,20.067816092888844,19.858803583223576,18.22673179405449,20.368769261343648,27.0570820793121
2020-01-09,19.48390574103221,18.752707099195256,19.478282542526536,16.022497249733544,19.82128633225913,17.80762770982697,14.508552843376265,13.539993744764363,20.76644234566212,22.68698373438409,32.74056348907595,20.934897072345237,18.69720077976438,25.325663205949304,20.676412657390816,20.642609139380074,14.812987776330983,23.666729635537994,22.9910650371167,13.475988258729938
2020-01-10,22.05299250969186,20.247474908250453,15.059990287531328,17.167800731338904,21.68007871330996,18.14917917743149,22.86306676520395,17.406606563557038,23.470643540689434,21.41339224582385,17.82037938523956,22.518897330839422,20.644785252959974,28.045224879432396,14.736111919504946,20.618925511860922,26.74765314884002,26.61109430068524,20.74830149873453,17.370196362741183
2020-01-11,20.72021785580439,22.46918388140478,14.111855187586846,18.46154361316499,24.432457696798078,15.203723036797058,15.693922233006793,18.583011127718738,18.35636153631696,14.537295928044312,13.786965307738551,29.551712507940213,13.961667826388373,20.715083371472804,30.26146712493584,11.936567112615096,15.60094634922552,13.907145306451794,33.60042604784068,20.73746284751233
2020-01-12,27.271367534814875,23.21657232531464,14.299018495325193,21.345120365881233,18.63934121990896,22.691648016380885,17.452024335268213,24.082674398868853,23.31982537763111,20.620591438669134,19.861507705831986,22.768905972133055,17.272782045822648,19.987214523974995,24.926544597130025,19.1504686878189,31.074097371746564,24.008452757361646,11.931080510277427,16.805686462583367
2020-01-13,23.805188625734967,12.146882956832737,28.77493076871029,22.624589318229415,21.423952995671815,19.287772912453153,25.49290824115573,20.011925989576177,24.110381783985687,29.18540343933872,20.875337294187215,17.062592663362206,27.766413250723815,22.638402385981216,18.135799410327184,28.593955673516472,18.232318102532027,15.156318759060703,27.615027429128062,17.727698352151897
